Route_name,Activity,Starting_Point,Distance,Elevation_gain,Rank1,Rank2,ImageUrl1,ImageUrl2,ImageUrl3
110119 PRATDIP. A Llaberia pels Solans i Portell del Carreter.Tornar pel Portell de la Dòvia PR-C 90,Senderisme,"a prop de Pratdip, Catalunya (España)","15,60km",776m,98,4.84,https://s2.wklcdn.com/image_3/106466/1416213/469856.400x300.jpg,https://s0.wklcdn.com/image_3/106466/1416213/469857.400x300.jpg,https://s1.wklcdn.com/image_3/106466/1416213/469858.400x300.jpg
"161110 Muntanyes de Prades. MONTBLANC. Circular pels Rasos, Serra dels Pedrols,Mas d'en Llord, Vall de Lladrons i Sant Josep",Senderisme,"a prop de Montblanc, Catalunya (España)","16,56km",681m,98,4.87,https://s2.wklcdn.com/image_3/106466/15450800/9649613.400x300.jpg,https://s1.wklcdn.com/image_3/106466/15450800/9649615.400x300.jpg,https://s2.wklcdn.com/image_3/106466/15450800/9649616.400x300.jpg
"150602 2x100 Cims 'Puigsacalm (E)(nº137) 'Puig de les Aligues (138)'.Puig dels Llops,Puig Torrell Gros des de Coll de Bracons",Senderisme,"a prop de Joanetes, Catalunya (España)","15,60km",947m,98,4.83,https://s0.wklcdn.com/image_3/106466/9855888/5921331.400x300.jpg,https://s1.wklcdn.com/image_3/106466/9855888/5921332.400x300.jpg,https://s2.wklcdn.com/image_3/106466/9855888/5921333.400x300.jpg
Vallfogona de Ripolles-Torrent de la Masica-Castell de Milany (1533 m.) - Vallfogona,Senderisme,"a prop de Vallfogona, Catalunya (España)","16,35km",799m,98,4.87,https://s2.wklcdn.com/image_1/45562/16271077/10199771.400x300.jpg,https://s2.wklcdn.com/image_1/45562/16271077/10199783.400x300.jpg,https://s1.wklcdn.com/image_1/45562/16271077/10199788.400x300.jpg
La Nou de Berguedà-Mina de les Agudes-Sobrepuny (1653 m.)-Sobrepuny de Baix (1565 m.)-Gruta i Santuari de Lurdes de la Nou,Senderisme,"a prop de la Nou de Berguedà, Catalunya (España)","10,78km",906m,98,4.87,https://s1.wklcdn.com/image_1/45562/19911137/12463426.400x300.jpg,https://s0.wklcdn.com/image_1/45562/19911137/12463464.400x300.jpg,https://s2.wklcdn.com/image_1/45562/19911137/12463481.400x300.jpg
150501 Muntanyes de Prades. Avencs i Avencots de La Febró ( GARMIN ),Senderisme,"a prop de la Febró, Catalunya (España)","7,33km",353m,98,4.73,https://s1.wklcdn.com/image_3/106466/9547189/5700916.400x300.jpg,https://s2.wklcdn.com/image_3/106466/9547189/5700917.400x300.jpg,https://s0.wklcdn.com/image_3/106466/9547189/5700918.400x300.jpg
Matagalls pel Collell i Sant Marçal des de Sant Bernat (Massís de Montseny),Senderisme,"a prop de Montseny, Catalunya (España)","14,88km",998m,98,4.58,https://s2.wklcdn.com/image_15/464080/11475322/6994304.400x300.jpg,https://s0.wklcdn.com/image_15/464080/11475322/6994308.400x300.jpg,https://s2.wklcdn.com/image_15/464080/11475322/6994313.400x300.jpg
140103 100 Cims. ALT CAMP . ' Montagut d'Ancosa ' i Puig Formigosa pel Grau del Pi de les Quatre Soques,Senderisme,"a prop de Querol, Catalunya (España)","15,45km",562m,98,4.8,https://s1.wklcdn.com/image_3/106466/5886921/3175579.400x300.jpg,https://s2.wklcdn.com/image_3/106466/5886921/3175580.400x300.jpg,https://s0.wklcdn.com/image_3/106466/5886921/3175581.400x300.jpg
El Pasteral-Cova i poblat Ibèric-Dolmen de Colldegria-Font del Bassi-Pic de la Mamella-Salt de l'Olla- Canal Vell- El Pasteral,Senderisme,"a prop de El Pasteral, Catalunya (España)","13,26km",731m,97,4.83,https://s1.wklcdn.com/image_1/45562/31281850/20091997.400x300.jpg,https://s0.wklcdn.com/image_1/45562/31281850/20092026.400x300.jpg,https://s2.wklcdn.com/image_1/45562/31281850/20092046.400x300.jpg
"Les graderes del volcà Croscat, el volcà de Santa Margarida i un tomb per la Fageda d'en Jordà.",Senderisme,"a prop de Sant Cristòfol de les Fonts, Catalunya (España)","11,00km",254m,97,4.83,https://s0.wklcdn.com/image_65/1976317/21264498/13335150.400x300.jpg,https://s0.wklcdn.com/image_65/1976317/21264498/13335159.400x300.jpg,https://s2.wklcdn.com/image_65/1976317/21264498/13335164.400x300.jpg
Estany de Sant Maurici-Estany de Ratera-Estany Gran d'Amitges,Senderisme,"a prop de Espot, Catalunya (España)","11,37km",554m,97,4.7,https://s1.wklcdn.com/image_0/5542/27853761/17790499.400x300.jpg,https://s0.wklcdn.com/image_0/5542/27853761/17790501.400x300.jpg,https://s1.wklcdn.com/image_0/5542/27853761/17790502.400x300.jpg
Cantonigrós i la Foradada des de l'Esquirol,Senderisme,"a prop de Santa Maria de Corcó, Catalunya (España)","10,58km",375m,97,4.75,https://s1.wklcdn.com/image_0/18930/4280064/2102854.400x300.jpg,https://s1.wklcdn.com/image_0/18930/4280064/2102857.400x300.jpg,https://s0.wklcdn.com/image_0/18930/4280064/2102859.400x300.jpg
Fageda de la Grevolosa i cim del Puig de l’Àliga (1.342 metres) pel Coll de Bracons (Osona),Senderisme,"a prop de Joanetes, Catalunya (España)","10,09km",531m,97,4.91,https://s2.wklcdn.com/image_40/1205870/20986151/13140170.400x300.jpg,https://s2.wklcdn.com/image_40/1205870/20986151/13140173.400x300.jpg,https://s1.wklcdn.com/image_40/1205870/20986151/13140868.400x300.jpg
Serra d'Ensija: Refugi d'Ensija-Gallina Pelada(2322m)-Pla de les Tores-Creu de Ferro(2294m)-Serrat del Voltor(2281m),Senderisme,"a prop de Saldes, Catalunya (España)","11,82km",888m,97,4.82,https://s1.wklcdn.com/image_1/45562/14971716/9323293.400x300.jpg,https://s2.wklcdn.com/image_1/45562/14971716/9323306.400x300.jpg,https://s2.wklcdn.com/image_1/45562/14971716/9323318.400x300.jpg
Montserrat - Integral de les 13 ermites,Senderisme,"a prop de Monestir de Montserrat, Catalunya (España)","14,21km",1223m,97,4.94,https://s0.wklcdn.com/image_11/330297/32409367/20859558.400x300.jpg,https://s0.wklcdn.com/image_11/330297/32409367/20859567.400x300.jpg,https://s1.wklcdn.com/image_11/330297/32409367/20859568.400x300.jpg
"Turó de les Pedritxes i Moleta per la Carena de Can Carbonell, Les Foradades i el Torrent i Pantà de Can Bogunyà",Senderisme,"a prop de Matadepera, Catalunya (España)","8,99km",438m,97,4.74,https://s1.wklcdn.com/image_32/961503/23485819/23458849.400x300.jpg,https://s1.wklcdn.com/image_32/961503/23485819/23458852.400x300.jpg,https://s1.wklcdn.com/image_32/961503/23485819/23458855.400x300.jpg
Castellar de n'Hug - Cova de la Tuta - Tossal d'Orriols (1.913 m) - Fonts del Llobregat,Senderisme,"a prop de Castellar de N'Hug, Catalunya (España)","9,81km",674m,97,4.59,https://s0.wklcdn.com/image_1/45562/33528254/21615414.400x300.jpg,https://s2.wklcdn.com/image_1/45562/33528254/21615419.400x300.jpg,https://s0.wklcdn.com/image_1/45562/33528254/21615426.400x300.jpg
140209 Integral Serra Miramar.2x100 Cims ' La Cogulla 'i' (E) Tossal Gros '. Carenats de Moltó i Somerota,Senderisme,"a prop de Lilla, Catalunya (España)","17,55km",949m,97,4.85,https://s2.wklcdn.com/image_3/106466/6116099/3337634.400x300.jpg,https://s0.wklcdn.com/image_3/106466/6116099/3337635.400x300.jpg,https://s1.wklcdn.com/image_3/106466/6116099/3337636.400x300.jpg
Les Preses-Volcà del Racó-Sant Miquel i Sant Martí del Corb-Roca Lladre (907 m.)-Puig Rodó-Xenacs-Les Preses,Senderisme,"a prop de les Preses, Catalunya (España)","12,25km",646m,97,4.77,https://s2.wklcdn.com/image_1/45562/9908735/5943647.400x300.jpg,https://s1.wklcdn.com/image_1/45562/9908735/5943649.400x300.jpg,https://s1.wklcdn.com/image_1/45562/9908735/5943673.400x300.jpg
"Creu de Santos per Roca Foradada, Martells, Coves (Lluminosa, Porcs i St Josep), Ermites (6) i Fonts (6) desde Balneari Cardó",Senderisme,"a prop de Benifallet, Catalunya (España)","10,02km",692m,97,4.9,https://s2.wklcdn.com/image_32/961503/37012160/23964326.400x300.jpg,https://s1.wklcdn.com/image_32/961503/37012160/23998459.400x300.jpg,https://s2.wklcdn.com/image_32/961503/37012160/23998466.400x300.jpg
"Travessa equipada dels Frares Encantats i les Agulles per Cova de l’Arcada, Torrent de les Grutes i Pallers des de El Bruc",Senderisme,"a prop de El Bruc, Catalunya (España)","11,40km",932m,97,4.69,https://s2.wklcdn.com/image_32/961503/12357569/24217292.400x300.jpg,https://s2.wklcdn.com/image_32/961503/12357569/24217322.400x300.jpg,https://s1.wklcdn.com/image_32/961503/12357569/24217558.400x300.jpg
Sant Jaume de Frontanyà-Salts i Gorgs de la Riera de Merlès fins la seva capçalera-Sant Jaume de Frontanyà,Senderisme,"a prop de Sant Jaume de Frontanyà, Catalunya (España)","16,46km",499m,97,4.63,https://s2.wklcdn.com/image_1/45562/16964151/10669454.400x300.jpg,https://s2.wklcdn.com/image_1/45562/16964151/10669457.400x300.jpg,https://s2.wklcdn.com/image_1/45562/16964151/10669466.400x300.jpg
"Carena Integral de Montgrony: Costa Pubilla, Covil, Emperadora i Pedra Picada per Canal de la Covil desde Santuari Montgrony",Senderisme,"a prop de Montgrony, Catalunya (España)","20,42km",1254m,97,4.97,https://s0.wklcdn.com/image_32/961503/15499994/23468454.400x300.jpg,https://s2.wklcdn.com/image_32/961503/15499994/23468456.400x300.jpg,https://s1.wklcdn.com/image_32/961503/15499994/23468458.400x300.jpg
"Castell de Burriac per l’Obaga, Rocar d’en Vivó, Turó d’en Cirers, Laberint de Cabrils i Font de Can Blanc des de Òrrius",Senderisme,"a prop de Òrrius, Catalunya (España)","14,40km",686m,97,4.74,https://s2.wklcdn.com/image_32/961503/34024431/22666712.400x300.jpg,https://s0.wklcdn.com/image_32/961503/34024431/22666713.400x300.jpg,https://s2.wklcdn.com/image_32/961503/34024431/22666715.400x300.jpg
Mura-Puig de la Balma-Puig Andreu-Turó del Ducs-Ermita S. Jaume de la Mata-Els Caus-Gorg del Padre-Ermita S. Antoni de Pàdua,Senderisme,"a prop de Mura, Catalunya (España)","16,61km",712m,97,4.54,https://s1.wklcdn.com/image_1/45562/16338845/10245448.400x300.jpg,https://s0.wklcdn.com/image_1/45562/16338845/10245462.400x300.jpg,https://s0.wklcdn.com/image_1/45562/16338845/10245465.400x300.jpg
Cap del Verd (2282 m.) des de l'Ermita de Santa Margarida de Gósol,Senderisme,"a prop de Gósol, Catalunya (España)","12,52km",777m,97,4.7,https://s0.wklcdn.com/image_1/45562/18488810/11646144.400x300.jpg,https://s1.wklcdn.com/image_1/45562/18488810/11646145.400x300.jpg,https://s0.wklcdn.com/image_1/45562/18488810/11646177.400x300.jpg
121004 MONTSANT. Del Pla de la Bassa als Ventadors i tornada pel Grau de Sant Antoni.,Senderisme,"a prop de Ulldemolins, Catalunya (España)","9,25km",667m,97,4.77,https://s0.wklcdn.com/image_3/106466/3430855/1517946.400x300.jpg,https://s0.wklcdn.com/image_3/106466/3430855/1517949.400x300.jpg,https://s1.wklcdn.com/image_3/106466/3430855/1517950.400x300.jpg
"Puig de Comanegra i Puig de les Bruixes pel Grau, Serra Llarga, Rasos de Monars i Cingles de la Gralla i Ricolta desde Beget",Senderisme,"a prop de Beget, Catalunya (España)","21,87km",1341m,97,4.83,https://s0.wklcdn.com/image_32/961503/23345058/24150897.400x300.jpg,https://s0.wklcdn.com/image_32/961503/23345058/24150900.400x300.jpg,https://s0.wklcdn.com/image_32/961503/23345058/24150903.400x300.jpg
"Ruta de l'Aigua Begur, 17-Novembre,2018",Senderisme,"a prop de Begur, Catalunya (España)","9,55km",278m,97,4.83,https://s1.wklcdn.com/image_1/42322/30689867/19732198.400x300.jpg,https://s0.wklcdn.com/image_1/42322/30689867/19732209.400x300.jpg,https://s0.wklcdn.com/image_1/42322/30689867/19732248.400x300.jpg
"P.N. Cadí-Moixeró: Cim Pedraforca (Pollegó Superior, 2506 mt), tartera, pel nou traçat  PR-C 123",Senderisme,"a prop de Saldes, Catalunya (España)","7,67km",1093m,97,4.96,https://s1.wklcdn.com/image_12/373176/7247375/4114663.400x300.jpg,https://s1.wklcdn.com/image_12/373176/7247375/4114666.400x300.jpg,https://s0.wklcdn.com/image_12/373176/7247375/4114668.400x300.jpg
130214 100 Cims (E) - CONCA BARBERÀ. De BIURE al ' Sant Miquel de Montclar ' . Tornada pel GR 7 i PONTILS,Senderisme,"a prop de Biure de Gaià, Catalunya (España)","16,38km",602m,97,4.91,https://s1.wklcdn.com/image_3/106466/3987734/1903213.400x300.jpg,https://s2.wklcdn.com/image_3/106466/3987734/1903214.400x300.jpg,https://s1.wklcdn.com/image_3/106466/3987734/1903216.400x300.jpg
VOLTA PEL MONTSENY ( AVIONETA ESTAVELLADA ),Senderisme,"a prop de Santa Fe del Montseny, Catalunya (España)","9,22km",474m,97,4.65,https://s2.wklcdn.com/image_16/494148/6259855/3485768.400x300.jpg,https://s2.wklcdn.com/image_16/494148/6259855/3485771.400x300.jpg,https://s2.wklcdn.com/image_16/494148/6259855/3485777.400x300.jpg
Vallter-Barraca de Tirapits-Estanys de Carançà-Refugi Ras de Carançà-Coma de Bacivers-Coll de la Geganta-Vallter,Senderisme,"a prop de Setcases, Catalunya (España)","20,69km",1481m,97,4.73,https://s2.wklcdn.com/image_1/45562/18401438/11597042.400x300.jpg,https://s2.wklcdn.com/image_1/45562/18401438/11597066.400x300.jpg,https://s1.wklcdn.com/image_1/45562/18401438/11597068.400x300.jpg
Sta Cecília de Voltregà(Puigví)-Salt del Gorg Negre-Sta Llúcia de Sobremunt(957m)-Sant Martí Xic-Castell de Voltregà(858m),Senderisme,"a prop de Santa Cecília de Voltregà, Catalunya (España)","16,23km",595m,97,4.79,https://s2.wklcdn.com/image_1/45562/34063767/21971000.400x300.jpg,https://s0.wklcdn.com/image_1/45562/34063767/21971067.400x300.jpg,https://s1.wklcdn.com/image_1/45562/34063767/21971089.400x300.jpg
"Puig de Bestrecà per Vall d’Hortmoier, Grau i Tuta d’Escales i esglésies de St Andreu, St Miquel i d’Escales des de Oix",Senderisme,"a prop de Oix, Catalunya (España)","18,92km",866m,97,4.97,https://s0.wklcdn.com/image_32/961503/29728935/23072988.400x300.jpg,https://s0.wklcdn.com/image_32/961503/29728935/23072994.400x300.jpg,https://s2.wklcdn.com/image_32/961503/29728935/23072999.400x300.jpg
"Taga, Puig Estela i Puig Coma d’Olla pel Pla del Gorg, Coll del Pal i Coma de Noufonts des de Santa Magdalena de Puigsac",Senderisme,"a prop de Pardines, Catalunya (España)","16,75km",991m,97,4.77,https://s1.wklcdn.com/image_32/961503/29479062/23210719.400x300.jpg,https://s1.wklcdn.com/image_32/961503/29479062/23210722.400x300.jpg,https://s0.wklcdn.com/image_32/961503/29479062/23210724.400x300.jpg
Sta. Fe del Montseny-Faig enforcat-Font de Briançó-Les Agudes-Turó de l’Home-Turó Gros-L’Abraçada-Font de Passavets-Sta. Fe,Senderisme,"a prop de Santa Fe del Montseny, Catalunya (España)","12,34km",730m,96,4.58,https://s1.wklcdn.com/image_1/45562/12423340/7629979.400x300.jpg,https://s2.wklcdn.com/image_1/45562/12423340/7629995.400x300.jpg,https://s1.wklcdn.com/image_1/45562/12423340/7629997.400x300.jpg
Sadernes - salt del Brull - St.Aniol - salt de la Núvia - sadernes,Senderisme,"a prop de Sadernes, Catalunya (España)","15,49km",856m,96,4.88,https://s1.wklcdn.com/image_18/545914/24731062/15759391.400x300.jpg,https://s0.wklcdn.com/image_18/545914/24731062/15759393.400x300.jpg,https://s0.wklcdn.com/image_18/545914/24731062/15759396.400x300.jpg
"Puigsacalm (Gran i Xic), Puig dels Llops i Puig Corneli per Ganxos Vells, Pas dels Burros, Santa Magdalena i Santuari Olletes",Senderisme,"a prop de Joanetes, Catalunya (España)","15,24km",1219m,96,4.96,https://s0.wklcdn.com/image_32/961503/30288648/23004474.400x300.jpg,https://s0.wklcdn.com/image_32/961503/30288648/23004477.400x300.jpg,https://s0.wklcdn.com/image_32/961503/30288648/23004480.400x300.jpg
Joanetes-Ganxos Vells-Pas dels Burros-Puigsacalm-Pic dels Llops-Santa Magdalena del Mont-Canal dels Ganxos Nous-Joanetes,Senderisme,"a prop de Joanetes, Catalunya (España)","10,84km",1035m,96,4.79,https://s2.wklcdn.com/image_1/45562/19443350/12186323.400x300.jpg,https://s2.wklcdn.com/image_1/45562/19443350/12186350.400x300.jpg,https://s2.wklcdn.com/image_1/45562/19443350/12186377.400x300.jpg
"Tossal Baltasana, Mola d’Estat, Toll de l’Olla, 4Ermites, Roca dl Gríngol, Cova Pere, Foradada i Llac de Prades dsd Capafonts",Senderisme,"a prop de Capafonts, Catalunya (España)","25,87km",871m,96,4.96,https://s0.wklcdn.com/image_32/961503/14756337/24167685.400x300.jpg,https://s2.wklcdn.com/image_32/961503/14756337/24167690.400x300.jpg,https://s1.wklcdn.com/image_32/961503/14756337/24167695.400x300.jpg
Olla de Núria,Senderisme,"a prop de Queralbs, Catalunya (España)","19,90km",1667m,96,4.88,https://s2.wklcdn.com/image_1/37954/7873006/4536824.400x300.jpg,https://s2.wklcdn.com/image_1/37954/7873006/4536827.400x300.jpg,https://s1.wklcdn.com/image_1/37954/7873006/4536829.400x300.jpg
Riberes de l'Onyar-Volcà de la Crosa-Sant Llop,Senderisme,"a prop de San Dalmay, Catalunya (España)","12,27km",185m,96,4.52,https://s2.wklcdn.com/image_1/45562/4481143/2239421.400x300.jpg,https://s2.wklcdn.com/image_1/45562/4481143/2239427.400x300.jpg,https://s0.wklcdn.com/image_1/45562/4481143/2239434.400x300.jpg
Pont Vell de Vilomara-Pont de les Arnaules- Roca Tinyosa-Casa de les Tines-Els Tres Salts del Llobregat-Tines de Solanes,Senderisme,"a prop de el Pont de Vilomara, Catalunya (España)","14,13km",423m,96,4.8,https://s2.wklcdn.com/image_1/45562/17648273/11137196.400x300.jpg,https://s0.wklcdn.com/image_1/45562/17648273/11137212.400x300.jpg,https://s0.wklcdn.com/image_1/45562/17648273/11137230.400x300.jpg
140226 100 Cims. ' Puig Pelat '. Avencs Febró-Barranc Foradada-Cingle Salòquia-Font Nova-La Mussara,Senderisme,"a prop de Vilaplana, Catalunya (España)","14,04km",496m,96,4.65,https://s0.wklcdn.com/image_3/106466/6226207/3412269.400x300.jpg,https://s0.wklcdn.com/image_3/106466/6226207/3412272.400x300.jpg,https://s0.wklcdn.com/image_3/106466/6226207/3412281.400x300.jpg
181110 Baix Ebre. 100 Cims (E) ' Mont Caro ' . Recorregut clàssic,Senderisme,"a prop de Alfara de Carles, Catalunya (España)","8,21km",457m,96,4.73,https://s0.wklcdn.com/image_3/106466/30425792/19521141.400x300.jpg,https://s2.wklcdn.com/image_3/106466/30425792/19521143.400x300.jpg,https://s0.wklcdn.com/image_3/106466/30425792/19521144.400x300.jpg
Cingles de Malanyeu,Senderisme,"a prop de Sant Julià de Cerdanyola, Catalunya (España)","12,38km",933m,96,4.79,https://s2.wklcdn.com/image_0/21584/2411889/930410.400x300.jpg,https://s1.wklcdn.com/image_0/21584/2411889/930409.400x300.jpg,https://s2.wklcdn.com/image_0/21584/2411889/930494.400x300.jpg
El Montcau i la Cova Simanya des del Marquet de les Roques,Senderisme,"a prop de Sant Llorenç Savall, Catalunya (España)","6,42km",525m,96,4.71,https://s1.wklcdn.com/image_33/1017838/18800830/11826622.400x300.jpg,https://s0.wklcdn.com/image_33/1017838/18800830/11826627.400x300.jpg,https://s0.wklcdn.com/image_33/1017838/18800830/11826630.400x300.jpg
Un tomb per les fagedes del Montseny: Memorial víctimes accident aeri del 1970-font i salt de Marianegra,Senderisme,"a prop de Vehinat de Lliors, Catalunya (España)","10,58km",433m,96,4.53,https://s2.wklcdn.com/image_1/45562/11992908/7345058.400x300.jpg,https://s0.wklcdn.com/image_1/45562/11992908/7345110.400x300.jpg,https://s0.wklcdn.com/image_1/45562/11992908/7345128.400x300.jpg
Un tomb per la Mola de Sant Llorenç de Munt,Senderisme,"a prop de Matadepera, Catalunya (España)","12,30km",701m,96,4.5,https://s1.wklcdn.com/image_1/45562/6776436/3788932.400x300.jpg,https://s0.wklcdn.com/image_1/45562/6776436/3788943.400x300.jpg,https://s2.wklcdn.com/image_1/45562/6776436/3788948.400x300.jpg
Coll Formic - Matagalls - Font Matagalls - Sant Miquel dels Barretons - Sant Segimon - Font Sant Miquel dels Sants,Senderisme,"a prop de El Brull, Catalunya (España)","11,81km",717m,96,4.74,https://s2.wklcdn.com/image_17/526649/9641848/5758853.400x300.jpg,https://s2.wklcdn.com/image_17/526649/9641848/5758859.400x300.jpg,https://s1.wklcdn.com/image_17/526649/9641848/5758864.400x300.jpg
ROCA DEL CORB I SANT HONORAT: Can Boix-Els Quatre Camins-Casa del Corb-Sant Salvador-El Corb-Coll de Mu-Sant Honorat,Senderisme,"a prop de Peramola, Catalunya (España)","11,33km",711m,96,4.83,https://s2.wklcdn.com/image_3/100924/9608187/5780162.400x300.jpg,https://s2.wklcdn.com/image_3/100924/9608187/5780165.400x300.jpg,https://s1.wklcdn.com/image_3/100924/9608188/5780170.400x300.jpg
Vallfogona de Ripolles-Torrent de la Masica-Santa Magdalena de Cambrils-Vallfogona,Senderisme,"a prop de Vallfogona, Catalunya (España)","15,44km",751m,96,4.93,https://s0.wklcdn.com/image_1/45562/13593694/8406036.400x300.jpg,https://s1.wklcdn.com/image_1/45562/13593694/8406052.400x300.jpg,https://s0.wklcdn.com/image_1/45562/13593694/8406069.400x300.jpg
Montserrat. Vinya Nova - Sant Jeroni pel camí dels francesos i baixada pel Camí del Pont de la canal de l'Ermità Mort,Senderisme,"a prop de Collbató, Catalunya (España)","8,43km",751m,96,4.79,https://s0.wklcdn.com/image_33/1017838/20936916/13101660.400x300.jpg,https://s2.wklcdn.com/image_33/1017838/20936916/13101665.400x300.jpg,https://s0.wklcdn.com/image_33/1017838/20936916/13101669.400x300.jpg
Vallcebre-Ermita de Sta. Magdalena-Cingles de Vallcebre-La Foradada-Vallcebre,Senderisme,"a prop de Vallcebre, Catalunya (España)","13,57km",649m,96,4.6,https://s1.wklcdn.com/image_1/45562/24903877/15882811.400x300.jpg,https://s1.wklcdn.com/image_1/45562/24903877/15882817.400x300.jpg,https://s0.wklcdn.com/image_1/45562/24903877/15882822.400x300.jpg
De Queralbs a Núria pel Camí dels Enginyers,Senderisme,"a prop de Queralbs, Catalunya (España)","22,92km",1566m,96,4.83,https://s2.wklcdn.com/image_1/37954/7615375/4364795.400x300.jpg,https://s1.wklcdn.com/image_1/37954/7615375/4364806.400x300.jpg,https://s1.wklcdn.com/image_1/37954/7615375/4364809.400x300.jpg
"Santuari del Far, des de Sant Martí Sacalm (Susqueda)",Senderisme,"a prop de Sant Martí Sacalm, Catalunya (España)","12,85km",1157m,96,4.73,https://s0.wklcdn.com/image_12/373176/3270866/1407099.400x300.jpg,https://s1.wklcdn.com/image_12/373176/3270866/1407100.400x300.jpg,https://s0.wklcdn.com/image_12/373176/3270866/1407102.400x300.jpg
"Turó i Avencs de la Miloquera, Castell del Moro, Roca del Corb, Cova del Xollat i Toll de la Pallissa des de Marçà",Senderisme,"a prop de Marsá, Catalunya (España)","9,22km",460m,96,4.89,https://s0.wklcdn.com/image_32/961503/35014724/22634970.400x300.jpg,https://s1.wklcdn.com/image_32/961503/35014724/22634971.400x300.jpg,https://s2.wklcdn.com/image_32/961503/35014724/22634972.400x300.jpg
